;PW. LEVEL;TYPE;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
g_RCfg.Lateral.DelayBladeBack;X;INT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.Lateral.BeltAdjust;X;UINT;1;1;2;2;2;1;0;1;0;1;1;1;1;2;1;1;0;1;1;2;1;2;2;2;1;1;0;0;1;3;2;1;3;2;2;4;4;1;4;1;1;1;1;0;0;0;0;0;1;1;1;2;2;2;2;2;2;0;2;2;2;2;0;1;1;0;4;1;2;1;1;2;1;1;2;2;2;2;0;2;1;1;2;0;1;0;1;4;1;0;1;1;1;1;1;1;1;1;1
g_RCfg.CrossFold.FoldCombination;X;UINT;3;2;2;2;9;13;2;9;2;2;10;9;11;3;13;11;9;2;2;2;8;9;11;2;3;10;8;8;8;9;9;8;9;9;11;13;2;2;9;2;8;9;11;8;9;11;2;9;0;8;9;13;0;0;0;0;0;2;3;2;9;11;10;2;2;2;2;2;9;2;8;11;13;11;3;8;11;3;2;2;8;9;11;9;0;14;8;14;13;2;2;10;3;2;3;2;8;9;11
g_RCfg.CrossFold.FixDimRearEdge;X;UINT;0;0;0;0;380;300;0;0;0;0;300;320;0;380;280;380;0;0;0;0;250;380;300;0;0;0;0;0;0;380;0;0;0;0;0;380;0;0;380;0;380;380;300;0;0;0;0;0;0;380;380;350;0;0;0;0;0;200;380;0;380;0;0;0;0;0;0;0;380;0;380;380;380;380;0;0;0;0;0;0;380;380;300;0;0;330;0;350;350;0;380;360;0;380;0;0;380;380;0
g_RCfg.CrossFold.FixDimLeadEdge;X;UINT;0;0;0;0;0;0;0;0;0;0;300;320;200;0;0;0;0;0;0;0;0;0;200;0;200;0;0;0;0;0;200;200;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;200;0;0;0;0;0;300;0;0;0;200;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;330;0;330;380;0;0;0;0;0;200;0;0;0;200
g_RCfg.CrossFold.XAMotorExtraTime;X;UINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0
g_RCfg.CrossFoldA.FoldDevice;X;UINT;0;1;2;2;0;0;0;1;2;1;0;1;1;2;0;1;0;0;0;1;1;1;1;2;1;0;0;0;0;2;0;1;2;0;2;1;0;1;2;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;1;1;1;1;0;0;0;2;1;2;2;2;0;1;0;0;0;0;0;2;0;2;0;2;0;0;0;0;1;0;0;2;0;0;0;0;2;2;1;2;2
g_RCfg.CrossFoldA.Belt1DelayTime;X;UINT;0;0;100;0;0;0;0;0;0;50;0;60;60;0;0;0;0;0;0;50;30;100;150;0;200;50;0;0;0;750;200;200;150;50;180;0;0;0;0;100;0;0;60;0;0;0;0;0;0;50;0;60;0;0;0;0;0;0;150;150;150;150;0;0;0;0;0;200;60;200;0;200;0;0;25;25;25;25;0;100;0;0;60;0;0;0;0;0;0;0;0;0;0;0;200;200;0;60;60
g_RCfg.CrossFoldA.Belt1OpenTime;X;UINT;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;0;0;2000;0;2000;2000;0;0;0;0;2000;2000;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;0;0;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;2000
g_RCfg.CrossFoldA.BlowDelay;X;UINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.CrossFoldA.BlowTime;X;UINT;120;120;200;100;200;100;200;200;350;200;200;200;200;100;200;200;200;60;60;200;200;290;250;120;200;150;200;200;100;150;150;150;200;200;400;400;200;200;100;200;200;150;150;100;100;100;200;200;400;200;100;250;0;0;0;0;0;100;200;200;200;200;150;60;120;350;350;200;250;200;200;250;100;200;200;200;200;120;100;200;200;100;250;200;400;200;200;200;100;350;100;100;200;100;200;200;200;200;200
g_RCfg.CrossFoldA.BlowBreak;X;UINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.CrossFoldA.BlowImpulses;X;UINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.CrossFoldA.KnifeDelay;X;UINT;290;297;290;200;0;0;0;250;180;280;280;280;280;200;0;250;0;200;200;290;290;280;290;0;250;250;0;0;0;280;250;250;130;280;180;300;200;300;280;290;0;280;290;0;0;0;0;0;180;290;280;290;300;300;300;300;300;0;290;290;280;250;0;200;0;180;280;300;280;300;0;290;0;0;290;290;290;290;0;290;0;280;290;0;180;250;280;250;0;180;0;0;0;0;250;280;280;280;280
g_RCfg.CrossFoldA.KnifeTime;X;UINT;300;300;300;300;0;0;0;300;300;300;300;300;300;300;0;300;0;260;260;300;300;300;300;300;300;300;0;0;260;300;400;400;300;300;300;320;180;300;300;300;0;300;300;0;0;0;0;0;300;300;300;300;0;0;0;0;0;0;300;300;300;300;0;260;300;300;300;300;300;300;0;300;0;0;300;300;300;300;0;300;0;300;300;0;300;300;300;300;0;300;0;0;0;0;300;300;300;300;300
g_RCfg.CrossFoldB.FoldDistance;X;INT;0;0;0;-20;-50;-60;0;-90;0;0;-40;-40;-60;20;0;-70;-60;0;0;0;-30;-50;-70;0;0;-20;-65;30;40;0;-70;-85;60;-100;30;-40;0;0;-55;0;-30;-55;-30;20;0;20;0;20;30;-30;-55;-30;1;1;1;1;1;0;0;0;-55;0;30;0;0;0;0;0;-20;0;0;-30;20;35;0;20;35;0;0;0;-30;-55;-30;20;30;0;40;0;30;0;20;0;0;20;0;0;30;-60;-40
g_RCfg.CrossFoldB.SlopeMode;X;UINT;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
g_RCfg.CrossFoldB.SlopeOnTime;X;UINT;450;800;500;500;800;1500;500;2500;800;650;800;2500;650;800;800;800;500;800;800;650;800;800;650;800;800;800;800;800;800;750;1000;1000;800;650;800;500;0;0;800;500;800;650;650;800;800;800;800;800;800;800;650;650;150;150;150;150;150;500;650;500;650;4000;4000;800;800;800;800;500;650;500;650;800;800;800;800;650;650;800;800;500;800;650;650;800;800;800;800;800;800;800;800;800;800;800;800;400;800;600;400
g_RCfg.CrossFoldB.BlowTimeFolding;X;UINT;150;0;0;0;50;50;0;20;150;0;30;10;50;50;50;20;0;150;150;0;20;50;100;150;30;30;200;200;60;50;20;20;50;100;100;100;150;60;50;0;50;50;200;80;80;80;150;150;100;50;50;200;1;1;1;1;1;50;50;0;50;80;80;150;150;150;150;0;100;0;100;100;50;50;150;150;150;150;0;0;50;50;200;150;100;50;80;20;50;150;50;50;150;50;30;0;20;25;100
g_RCfg.CrossFoldB.BlowDelayFolding;X;UINT;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;200;200;200;200;200;1;1;1;1;20;20;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1
g_RCfg.CrossFoldB.BlowTimeLeading;X;UINT;200;5;200;200;100;100;200;20;200;15;10;20;20;150;150;20;200;200;200;30;10;20;25;200;10;5;150;150;150;200;120;200;150;30;150;150;150;150;150;200;100;150;100;80;80;80;200;150;150;100;150;200;1;1;1;1;1;100;80;200;150;0;0;200;200;200;200;200;150;200;100;30;150;150;200;200;200;200;100;200;100;150;200;150;150;150;150;150;120;200;150;150;200;150;30;25;10;30;25
g_RCfg.CrossFoldB.BlowDelayLeading;X;UINT;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;50;50;50;1;1;1;1;1;1;1;1;35;1;1;1;1;1;1;1;1;1;1;1;1;1;120;15;15;15;15;15;75;120;1;1;100;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;120;1;1;50;50;50;1;1;1;1;1;1;1;1;1;1;1
g_RCfg.CrossFoldB.BlowTimeReversing;X;UINT;15;0;15;300;50;50;15;1;15;0;0;0;0;150;150;1;15;15;15;0;0;1;0;15;1;20;15;15;15;0;0;150;150;150;150;150;15;0;150;15;50;0;0;80;80;80;15;150;150;50;150;150;1;1;1;1;1;0;0;15;150;0;0;15;15;15;15;15;0;15;0;1;150;150;15;15;15;15;0;15;50;150;150;150;150;15;15;15;50;15;150;150;15;150;150;0;0;0;0
g_RCfg.CrossFoldB.BlowDelayReversing;X;UINT;1;0;1;1;100;100;1;1;1;0;0;0;0;150;150;1;1;1;1;0;0;0;0;1;1;0;1;1;1;0;1;1;150;100;150;150;1;0;150;1;100;0;0;80;80;80;1;150;150;100;150;150;0;0;0;0;0;0;0;1;150;0;0;1;1;1;1;1;0;1;0;1;150;150;1;1;1;1;0;1;100;150;150;150;150;1;1;1;100;1;150;150;1;150;1;0;0;0;0
g_RCfg.CrossFoldB.StopMotorEnable;X;BOOL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.CrossFoldB.StopMotorDelay;X;UINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.CrossFoldB.StopMotorTime;X;UINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.CrossFoldB.ReverseTimeAdjust;X;INT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.CrossFoldB.StopXAEnable;X;BOOL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.CrossFoldB.StopXADelay;X;UINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g_RCfg.StackerBelt1.AirBlastStartDelay;X;UINT;420;425;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;0;0;0;0;420;420;420;420;420;420;420;0;0;0;0;0;0;420;420;420;0;0;0;0;0;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;0;420;420;420;420;0;0;420;420;420;420;420;420;420;420;420;420;420;420;420;420
g_RCfg.StackerBelt1.AirBlastOnTime;X;UINT;0;10;0;25;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
g_RCfg.StackerBelt2.AirBlastStartDelay;X;UINT;420;575;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;0;0;0;0;420;420;420;420;420;420;420;0;0;0;0;0;0;420;420;420;0;0;0;0;0;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;0;420;420;420;420;0;0;420;420;420;420;420;420;420;420;420;420;420;420;420;420
g_RCfg.StackerBelt2.AirBlastOnTime;X;UINT;0;50;0;25;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;50;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
g_RCfg.StackerBelt3.AirBlastStartDelay;X;UINT;420;575;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;0;0;0;0;420;420;420;420;420;420;420;0;0;0;0;0;0;420;420;420;0;0;0;0;0;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;0;420;420;420;420;0;0;420;420;420;420;420;420;420;420;420;420;420;420;420;420
g_RCfg.StackerBelt3.AirBlastOnTime;X;UINT;0;50;0;25;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;50;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
g_RCfg.StackerBelt4.AirBlastStartDelay;X;UINT;420;575;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;0;0;0;0;420;420;420;420;420;420;420;0;0;0;0;0;0;420;420;420;0;0;0;0;0;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;0;420;420;420;420;0;0;420;420;420;420;420;420;420;420;420;420;420;420;420;420
g_RCfg.StackerBelt4.AirBlastOnTime;X;UINT;0;50;0;25;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;50;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
g_RCfg.StackerBelt5.AirBlastStartDelay;X;UINT;420;575;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;0;0;0;0;420;420;420;420;420;420;420;0;0;0;0;0;0;420;420;420;0;0;0;0;0;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;0;420;420;420;420;0;0;420;420;420;420;420;420;420;420;420;420;420;420;420;420
g_RCfg.StackerBelt5.AirBlastOnTime;X;UINT;0;50;0;25;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;50;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
g_RCfg.Stacker.SelectSection;X;UINT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
