;PWL;TYPE;L2 English;L3 German;L4 French;L5 Swedish;L6 Danish;L7 Norwegian;L8 Finnish;L9 Italian;L10;L11;L12;L13;L14
g_MCfg.Inlet.FlapTrousersSideOnDelay;25;0;[T] Inlet:FlapTrousersSideOnDelay;[T] Inlet:FlapTrousersSideOnDelay;[T] Inlet:FlapTrousersSideOnDelay;[T] Inlet:FlapTrousersSideOnDelay;[T] Inlet:FlapTrousersSideOnDelay;[T] Inlet:FlapTrousersSideOnDelay;[T] Inlet:FlapTrousersSideOnDelay;[T] Inlet:FlapTrousersSideOnDelay;[T] Inlet:FlapTrousersSideOnDelay;[T] Inlet:FlapTrousersSideOnDelay;[T] Inlet:FlapTrousersSideOnDelay;[T] Inlet:FlapTrousersSideOnDelay;[T] Inlet:FlapTrousersSideOnDelay
g_MCfg.Inlet.TrouserBlowDelay;26;0;[T] Inlet:TrouserBlowDelay;[T] Inlet:TrouserBlowDelay;[T] Inlet:TrouserBlowDelay;[T] Inlet:TrouserBlowDelay;[T] Inlet:TrouserBlowDelay;[T] Inlet:TrouserBlowDelay;[T] Inlet:TrouserBlowDelay;[T] Inlet:TrouserBlowDelay;[T] Inlet:TrouserBlowDelay;[T] Inlet:TrouserBlowDelay;[T] Inlet:TrouserBlowDelay;[T] Inlet:TrouserBlowDelay;[T] Inlet:TrouserBlowDelay
g_MCfg.Inlet.TrouserBlowTime;27;0;[T] Inlet:TrouserBlowTime;[T] Inlet:TrouserBlowTime;[T] Inlet:TrouserBlowTime;[T] Inlet:TrouserBlowTime;[T] Inlet:TrouserBlowTime;[T] Inlet:TrouserBlowTime;[T] Inlet:TrouserBlowTime;[T] Inlet:TrouserBlowTime;[T] Inlet:TrouserBlowTime;[T] Inlet:TrouserBlowTime;[T] Inlet:TrouserBlowTime;[T] Inlet:TrouserBlowTime;[T] Inlet:TrouserBlowTime
g_MCfg.Inlet.TrouserBlowGap;28;0;[T] Inlet:TrouserBlowGap;[T] Inlet:TrouserBlowGap;[T] Inlet:TrouserBlowGap;[T] Inlet:TrouserBlowGap;[T] Inlet:TrouserBlowGap;[T] Inlet:TrouserBlowGap;[T] Inlet:TrouserBlowGap;[T] Inlet:TrouserBlowGap;[T] Inlet:TrouserBlowGap;[T] Inlet:TrouserBlowGap;[T] Inlet:TrouserBlowGap;[T] Inlet:TrouserBlowGap;[T] Inlet:TrouserBlowGap
g_MCfg.Inlet.TrouserBlowCount;29;0;[T] Inlet:TrouserBlowCount;[T] Inlet:TrouserBlowCount;[T] Inlet:TrouserBlowCount;[T] Inlet:TrouserBlowCount;[T] Inlet:TrouserBlowCount;[T] Inlet:TrouserBlowCount;[T] Inlet:TrouserBlowCount;[T] Inlet:TrouserBlowCount;[T] Inlet:TrouserBlowCount;[T] Inlet:TrouserBlowCount;[T] Inlet:TrouserBlowCount;[T] Inlet:TrouserBlowCount;[T] Inlet:TrouserBlowCount
g_MCfg.Inlet.RunInfeedAll;30;0;[F] Inlet:RunInfeedAll;[F] Inlet:RunInfeedAll;[F] Inlet:RunInfeedAll;[F] Inlet:RunInfeedAll;[F] Inlet:RunInfeedAll;[F] Inlet:RunInfeedAll;[F] Inlet:RunInfeedAll;[F] Inlet:RunInfeedAll;[F] Inlet:RunInfeedAll;[F] Inlet:RunInfeedAll;[F] Inlet:RunInfeedAll;[F] Inlet:RunInfeedAll;[F] Inlet:RunInfeedAll
g_MCfg.Inlet.SpeedInfeedTime;31;0;[T] Inlet:SpeedInfeedTime;[T] Inlet:SpeedInfeedTime;[T] Inlet:SpeedInfeedTime;[T] Inlet:SpeedInfeedTime;[T] Inlet:SpeedInfeedTime;[T] Inlet:SpeedInfeedTime;[T] Inlet:SpeedInfeedTime;[T] Inlet:SpeedInfeedTime;[T] Inlet:SpeedInfeedTime;[T] Inlet:SpeedInfeedTime;[T] Inlet:SpeedInfeedTime;[T] Inlet:SpeedInfeedTime;[T] Inlet:SpeedInfeedTime
g_MCfg.Inlet.Hanger.EmptyHangerLength;32;0;[T] Inlet:HangerEmptyHangerLength;[T] Inlet:HangerEmptyHangerLength;[T] Inlet:HangerEmptyHangerLength;[T] Inlet:HangerEmptyHangerLength;[T] Inlet:HangerEmptyHangerLength;[T] Inlet:HangerEmptyHangerLength;[T] Inlet:HangerEmptyHangerLength;[T] Inlet:HangerEmptyHangerLength;[T] Inlet:HangerEmptyHangerLength;[T] Inlet:HangerEmptyHangerLength;[T] Inlet:HangerEmptyHangerLength;[T] Inlet:HangerEmptyHangerLength;[T] Inlet:HangerEmptyHangerLength
g_MCfg.Inlet.Hanger.CheckCollapsedTime;33;0;[T] Inlet:HangerCheckCollapsedTime;[T] Inlet:HangerCheckCollapsedTime;[T] Inlet:HangerCheckCollapsedTime;[T] Inlet:HangerCheckCollapsedTime;[T] Inlet:HangerCheckCollapsedTime;[T] Inlet:HangerCheckCollapsedTime;[T] Inlet:HangerCheckCollapsedTime;[T] Inlet:HangerCheckCollapsedTime;[T] Inlet:HangerCheckCollapsedTime;[T] Inlet:HangerCheckCollapsedTime;[T] Inlet:HangerCheckCollapsedTime;[T] Inlet:HangerCheckCollapsedTime;[T] Inlet:HangerCheckCollapsedTime
g_MCfg.Inlet.Hanger.HoldPoint;34;0;[T] Inlet:HangerHoldPoint;[T] Inlet:HangerHoldPoint;[T] Inlet:HangerHoldPoint;[T] Inlet:HangerHoldPoint;[T] Inlet:HangerHoldPoint;[T] Inlet:HangerHoldPoint;[T] Inlet:HangerHoldPoint;[T] Inlet:HangerHoldPoint;[T] Inlet:HangerHoldPoint;[T] Inlet:HangerHoldPoint;[T] Inlet:HangerHoldPoint;[T] Inlet:HangerHoldPoint;[T] Inlet:HangerHoldPoint
g_MCfg.Inlet.Hanger.PassedTime;35;0;[T] Inlet:HangerPassedTime;[T] Inlet:HangerPassedTime;[T] Inlet:HangerPassedTime;[T] Inlet:HangerPassedTime;[T] Inlet:HangerPassedTime;[T] Inlet:HangerPassedTime;[T] Inlet:HangerPassedTime;[T] Inlet:HangerPassedTime;[T] Inlet:HangerPassedTime;[T] Inlet:HangerPassedTime;[T] Inlet:HangerPassedTime;[T] Inlet:HangerPassedTime;[T] Inlet:HangerPassedTime
g_MCfg.Inlet.Hanger.DelayStopHangerConveyor;36;0;[T] Inlet:HangerDelayStopHangerConveyor;[T] Inlet:HangerDelayStopHangerConveyor;[T] Inlet:HangerDelayStopHangerConveyor;[T] Inlet:HangerDelayStopHangerConveyor;[T] Inlet:HangerDelayStopHangerConveyor;[T] Inlet:HangerDelayStopHangerConveyor;[T] Inlet:HangerDelayStopHangerConveyor;[T] Inlet:HangerDelayStopHangerConveyor;[T] Inlet:HangerDelayStopHangerConveyor;[T] Inlet:HangerDelayStopHangerConveyor;[T] Inlet:HangerDelayStopHangerConveyor;[T] Inlet:HangerDelayStopHangerConveyor;[T] Inlet:HangerDelayStopHangerConveyor
g_MCfg.Inlet.Hanger.DelayStopHangerConveyorLong;37;0;[T] Inlet:HangerDelayStopHangerConveyorLong;[T] Inlet:HangerDelayStopHangerConveyorLong;[T] Inlet:HangerDelayStopHangerConveyorLong;[T] Inlet:HangerDelayStopHangerConveyorLong;[T] Inlet:HangerDelayStopHangerConveyorLong;[T] Inlet:HangerDelayStopHangerConveyorLong;[T] Inlet:HangerDelayStopHangerConveyorLong;[T] Inlet:HangerDelayStopHangerConveyorLong;[T] Inlet:HangerDelayStopHangerConveyorLong;[T] Inlet:HangerDelayStopHangerConveyorLong;[T] Inlet:HangerDelayStopHangerConveyorLong;[T] Inlet:HangerDelayStopHangerConveyorLong;[T] Inlet:HangerDelayStopHangerConveyorLong
g_MCfg.Inlet.Hanger.ConveyorShortRunTime;38;0;[T] Inlet:HangerConveyorShortRunTime;[T] Inlet:HangerConveyorShortRunTime;[T] Inlet:HangerConveyorShortRunTime;[T] Inlet:HangerConveyorShortRunTime;[T] Inlet:HangerConveyorShortRunTime;[T] Inlet:HangerConveyorShortRunTime;[T] Inlet:HangerConveyorShortRunTime;[T] Inlet:HangerConveyorShortRunTime;[T] Inlet:HangerConveyorShortRunTime;[T] Inlet:HangerConveyorShortRunTime;[T] Inlet:HangerConveyorShortRunTime;[T] Inlet:HangerConveyorShortRunTime;[T] Inlet:HangerConveyorShortRunTime
g_MCfg.Inlet.Hanger.ConveyorShortRunPause;39;0;[T] Inlet:HangerConveyorShortRunPause;[T] Inlet:HangerConveyorShortRunPause;[T] Inlet:HangerConveyorShortRunPause;[T] Inlet:HangerConveyorShortRunPause;[T] Inlet:HangerConveyorShortRunPause;[T] Inlet:HangerConveyorShortRunPause;[T] Inlet:HangerConveyorShortRunPause;[T] Inlet:HangerConveyorShortRunPause;[T] Inlet:HangerConveyorShortRunPause;[T] Inlet:HangerConveyorShortRunPause;[T] Inlet:HangerConveyorShortRunPause;[T] Inlet:HangerConveyorShortRunPause;[T] Inlet:HangerConveyorShortRunPause
g_MCfg.Inlet.Hanger.SpeedHzConveyorShortRun;40;0;[T] Inlet:HangerSpeedHzConveyorShortRun;[T] Inlet:HangerSpeedHzConveyorShortRun;[T] Inlet:HangerSpeedHzConveyorShortRun;[T] Inlet:HangerSpeedHzConveyorShortRun;[T] Inlet:HangerSpeedHzConveyorShortRun;[T] Inlet:HangerSpeedHzConveyorShortRun;[T] Inlet:HangerSpeedHzConveyorShortRun;[T] Inlet:HangerSpeedHzConveyorShortRun;[T] Inlet:HangerSpeedHzConveyorShortRun;[T] Inlet:HangerSpeedHzConveyorShortRun;[T] Inlet:HangerSpeedHzConveyorShortRun;[T] Inlet:HangerSpeedHzConveyorShortRun;[T] Inlet:HangerSpeedHzConveyorShortRun
g_MCfg.Inlet.Hanger.SpeedHzBeltInfeed;41;0;[T] Inlet:HangerSpeedHzBeltInfeed;[T] Inlet:HangerSpeedHzBeltInfeed;[T] Inlet:HangerSpeedHzBeltInfeed;[T] Inlet:HangerSpeedHzBeltInfeed;[T] Inlet:HangerSpeedHzBeltInfeed;[T] Inlet:HangerSpeedHzBeltInfeed;[T] Inlet:HangerSpeedHzBeltInfeed;[T] Inlet:HangerSpeedHzBeltInfeed;[T] Inlet:HangerSpeedHzBeltInfeed;[T] Inlet:HangerSpeedHzBeltInfeed;[T] Inlet:HangerSpeedHzBeltInfeed;[T] Inlet:HangerSpeedHzBeltInfeed;[T] Inlet:HangerSpeedHzBeltInfeed
g_MCfg.Inlet.Hanger.SpeedHzBelt;42;0;[T] Inlet:HangerSpeedHzBelt;[T] Inlet:HangerSpeedHzBelt;[T] Inlet:HangerSpeedHzBelt;[T] Inlet:HangerSpeedHzBelt;[T] Inlet:HangerSpeedHzBelt;[T] Inlet:HangerSpeedHzBelt;[T] Inlet:HangerSpeedHzBelt;[T] Inlet:HangerSpeedHzBelt;[T] Inlet:HangerSpeedHzBelt;[T] Inlet:HangerSpeedHzBelt;[T] Inlet:HangerSpeedHzBelt;[T] Inlet:HangerSpeedHzBelt;[T] Inlet:HangerSpeedHzBelt
g_MCfg.Inlet.Hanger.SpeedSlowHangerBeltDeloader;43;0;[T] Inlet:HangerSpeedSlowHangerBeltDeloader;[T] Inlet:HangerSpeedSlowHangerBeltDeloader;[T] Inlet:HangerSpeedSlowHangerBeltDeloader;[T] Inlet:HangerSpeedSlowHangerBeltDeloader;[T] Inlet:HangerSpeedSlowHangerBeltDeloader;[T] Inlet:HangerSpeedSlowHangerBeltDeloader;[T] Inlet:HangerSpeedSlowHangerBeltDeloader;[T] Inlet:HangerSpeedSlowHangerBeltDeloader;[T] Inlet:HangerSpeedSlowHangerBeltDeloader;[T] Inlet:HangerSpeedSlowHangerBeltDeloader;[T] Inlet:HangerSpeedSlowHangerBeltDeloader;[T] Inlet:HangerSpeedSlowHangerBeltDeloader;[T] Inlet:HangerSpeedSlowHangerBeltDeloader
g_MCfg.Inlet.Hanger.SpeedToDeloaderDelay;44;0;[T] Inlet:HangerSpeedToDeloaderDelay;[T] Inlet:HangerSpeedToDeloaderDelay;[T] Inlet:HangerSpeedToDeloaderDelay;[T] Inlet:HangerSpeedToDeloaderDelay;[T] Inlet:HangerSpeedToDeloaderDelay;[T] Inlet:HangerSpeedToDeloaderDelay;[T] Inlet:HangerSpeedToDeloaderDelay;[T] Inlet:HangerSpeedToDeloaderDelay;[T] Inlet:HangerSpeedToDeloaderDelay;[T] Inlet:HangerSpeedToDeloaderDelay;[T] Inlet:HangerSpeedToDeloaderDelay;[T] Inlet:HangerSpeedToDeloaderDelay;[T] Inlet:HangerSpeedToDeloaderDelay
g_MCfg.Inlet.Vaccum.AlwaysUse;45;0;[F] Inlet:VaccumAlwaysUse;[F] Inlet:VaccumAlwaysUse;[F] Inlet:VaccumAlwaysUse;[F] Inlet:VaccumAlwaysUse;[F] Inlet:VaccumAlwaysUse;[F] Inlet:VaccumAlwaysUse;[F] Inlet:VaccumAlwaysUse;[F] Inlet:VaccumAlwaysUse;[F] Inlet:VaccumAlwaysUse;[F] Inlet:VaccumAlwaysUse;[F] Inlet:VaccumAlwaysUse;[F] Inlet:VaccumAlwaysUse;[F] Inlet:VaccumAlwaysUse
g_MCfg.Inlet.Vaccum.StartupTime;46;0;[T] Inlet:VaccumStartupTime;[T] Inlet:VaccumStartupTime;[T] Inlet:VaccumStartupTime;[T] Inlet:VaccumStartupTime;[T] Inlet:VaccumStartupTime;[T] Inlet:VaccumStartupTime;[T] Inlet:VaccumStartupTime;[T] Inlet:VaccumStartupTime;[T] Inlet:VaccumStartupTime;[T] Inlet:VaccumStartupTime;[T] Inlet:VaccumStartupTime;[T] Inlet:VaccumStartupTime;[T] Inlet:VaccumStartupTime
g_MCfg.Inlet.Vaccum.DelayOffSec;47;0;[T] Inlet:VaccumDelayOffSec;[T] Inlet:VaccumDelayOffSec;[T] Inlet:VaccumDelayOffSec;[T] Inlet:VaccumDelayOffSec;[T] Inlet:VaccumDelayOffSec;[T] Inlet:VaccumDelayOffSec;[T] Inlet:VaccumDelayOffSec;[T] Inlet:VaccumDelayOffSec;[T] Inlet:VaccumDelayOffSec;[T] Inlet:VaccumDelayOffSec;[T] Inlet:VaccumDelayOffSec;[T] Inlet:VaccumDelayOffSec;[T] Inlet:VaccumDelayOffSec
g_MCfg.Inlet.Vaccum.FanCleaningTime;48;0;[T] Inlet:VaccumFanCleaningTime;[T] Inlet:VaccumFanCleaningTime;[T] Inlet:VaccumFanCleaningTime;[T] Inlet:VaccumFanCleaningTime;[T] Inlet:VaccumFanCleaningTime;[T] Inlet:VaccumFanCleaningTime;[T] Inlet:VaccumFanCleaningTime;[T] Inlet:VaccumFanCleaningTime;[T] Inlet:VaccumFanCleaningTime;[T] Inlet:VaccumFanCleaningTime;[T] Inlet:VaccumFanCleaningTime;[T] Inlet:VaccumFanCleaningTime;[T] Inlet:VaccumFanCleaningTime
